                   year,File name,Style,Material,Brand
all,Kimble 2449 C8.jpg,rectangle,plastic,kimble
all,Lacoste L2707 003.jpg,rectangle,plastic,lacoste
all,Lacoste L2779a 024.jpg,round,plastic,lacoste
all,Norfolk.jpg,rectangle,plastic,norfolk
all,Alan Junior Tk6110 C4.jpg,round,plastic,alan
all,Lacoste L2170a 001.jpg,rectangle,plastic,lacoste
all,Mimsa.jpg,round,metal,mimsa
all,Kimble 2452 C2.jpg,rectangle,plastic,kimble
all,Kimble Ld2404 C1.jpg,rectangle,plastic,kimble
all,Police Vpl635 096g.jpg,round,plastic,house
all,Kimble 2402 C2.jpg,rectangle,plastic,kimble
all,Police Vpla43 06qs.jpg,round,plastic,house
all,Hugo Boss Hg 1062 Oit.jpg,round,complex,boss
all,Hugo Boss Hg 1044 Pjp.jpg,round,plastic,boss
all,Fisher 2428 C2.jpg,rectangle,plastic,fisher
all,Lacoste L2796 604.jpg,rectangle,plastic,lacoste
all,Calvin Klein Ckj911 026.jpg,rectangle,plastic,calvin
all,Ted Baker B763uf Blk.jpg,rectangle,plastic,ted baker
all,Brit Club Cfc8071 C1.jpg,rectangle,plastic,brit
all,Kimble 2452 C1.jpg,rectangle,plastic,kimble
all,Lacoste L2795 001.jpg,round,plastic,lacoste
all,Fisher 2403 C1.jpg,rectangle,plastic,fisher
all,Corwin Ld2434 C6.jpg,aviator,plastic,corwin
all,Police Vpl505 Blk.jpg,round,plastic,house
all,Guess Gu1957 070.jpg,round,plastic,guess
all,Lacoste L2692 414.jpg,rectangle,plastic,lacoste
all,Lacoste L2707 002.jpg,rectangle,plastic,lacoste
all,Hugo Boss Hg 0334 003.jpg,rectangle,plastic,boss
all,Lacoste L2819 315.jpg,rectangle,plastic,lacoste
all,Guess Gu2625 005.jpg,rectangle,plastic,guess
all,Felix 3370 C08.jpg,rectangle,plastic,felix
all,Kimble Ld2404 C4.jpg,rectangle,plastic,kimble
all,Kate Spade Jacey Wr7.jpg,rectangle,plastic,house
all,Calvin Klein Ck5902a 214.jpg,round,plastic,calvin
all,Police Vpl485 096g.jpg,rectangle,plastic,house
all,Fisher 2414 C1.jpg,round,plastic,fisher
all,Police Vplb58 08ht.jpg,round,plastic,house
all,Lacoste L2801a 210.jpg,round,plastic,lacoste
all,Kimble 2449 C1.jpg,rectangle,plastic,kimble
all,Guess Gu2748 005.jpg,rectangle,plastic,guess
all,Police Vpl801 Oj58.jpg,round,plastic,house
all,Fisher 2414 C4.jpg,round,plastic,fisher
all,Prrissm.jpg,round,plastic,house
all,Calvin Klein Ck18516 311.jpg,rectangle,plastic,calvin
all,Calvin Klein Ckj18705 001.jpg,rectangle,plastic,calvin
2020,Jings P10500 2020.jpg,rectangle,plastic,house
all,Tom Ford Tony FT 0756 52B.jpg,aviator,plastic,tomford
2018,OEM FJ8035 2019.jpg,round,plastic,house
2021,gucci- 56mm 2021.webp,rectangle,plastic,gucci
all,Kate Spade Cristi Jdt.jpg,cat eye,plastic,house
2019,glasses frames for girls 2019.jpg,round,metal,house
2021,oem women 49175 2021.jpg,round,complex,house
2019,acetate 2019.jpg,round,plastic,house
2019,OEM 566 2019.png,aviator,plastic,house
all,Jings JY2180a.jpg,round,plastic,house
all,Dolce&Gabbana DG 4384 501.jpg,rectangle,plastic,dolce
all,Police Vpl841 0539.jpg,round,metal,house
all,Puma PU 0308S 001.jpg,aviator,plastic,puma
2019,xiamen rimless sunglasses 49499 2019.jpg,round,plastic,xiamen
2017,rayban metal round 2017.jpg,round,complex,rayban
2021,Maui-Jim-World-Cup 2021.jpg,rectangle,plastic,house
all,Alan Junior Tk6112 C1.jpg,round,plastic,alan
2018,conchen F1711 2018.jpg,rectangle,plastic,conchen
2019,oem 8006 2019.jpg,rectangle,plastic,house
2021,women sunglasses custom women 49175 2021.jpg,round,complex,house
all,Versace VE 4307 GB1.jpg,rectangle,plastic,versace
all,THREE HIPPOS 82001.png,aviator,plastic,house
all,Lacoste L867s 604.jpg,rectangle,plastic,lacoste
2020,OEM GLS-01-0015-1 2020.jpg,round,metal,house
2019,Jings 49120 2019.jpg,rectangle,plastic,jings
2019,yuhuang 1507 2019.png,round,metal,house
all,Police Vplc26 09gu.jpg,cat eye,plastic,house
2021,Maui-Jim-Spartan-Reef 2021.jpg,rectangle,plastic,house
2019,PRIDE OF THE EYE P8659 2019.jpg,rectangle,plastic,house
all,Osilake OS-W5581.jpg,round,plastic,osilake
2019,Lonsy LS2901 2019.jpg,rectangle,plastic,lonsy
all,Stella McCartney SC 0171S 001.jpg,round,plastic,stella
all,Dieter 1163 Blk.jpg,rectangle,metal,dieter
all,Deboraha.jpg,round,plastic,house
2019,One-Piece Alien Sun Glasses 2019.jpg,rectangle,plastic,house
2019,JY SG-149 2019.png,rectangle,plastic,house
all,Osicare OS-M0947.jpg,round,metal,osilake
2019,smith longfin 2019.jpg,rectangle,plastic,smith
2018,Rlei Di L21400 2018.jpg,rectangle,plastic,house
2019,no 93207 2019.jpg,rectangle,plastic,house
2019,OEM m4361 2019.png,rectangle,plastic,house
2018,Sifier SF8E01 2018.jpg,round,plastic,house
2020,Conchen 8002-1 2020.jpg,round,plastic,conchen
2019,90s INSPIRED 2019.png,rectangle,metal,house
2019,Rlei Di VIN TIGER 2019.jpg,rectangle,plastic,house
all,Dieter 1163 Black.jpg,rectangle,metal,dieter
2019,gigi-barcelona 2019.jpg,rectangle,metal,house
2019,OK 93225 2019.jpg,rectangle,plastic,house
all,Osilake OS-W5557.jpg,rectangle,plastic,osilake
all,Tom Ford Tony FT 0756 01A.jpg,aviator,plastic,tomford
all,Tom Ford Dax FT 0751-N 01A.jpg,rectangle,plastic,tomford
all,Ray-Ban Round Metal RB 3447 919931.jpg,round,metal,rayban
all,Jings 49387.jpg,rectangle,plastic,jings
all,OEM 49367.jpg,rectangle,plastic,house
2019,PAN DA A3014-1 2019.jpg,round,plastic,house
all,OEM P10468-1.jpg,rectangle,plastic,house
all,Tom Ford Anya FT 0762 01A.jpg,cat eye,plastic,tomford
all,Ralph RA 5206 137813.jpg,rectangle,plastic,ralph 
all,Neumann Ty075 C1.jpg,cat eye,plastic,paul newman
all,Sifier DY-Anna.jpg,round,plastic,house
2019,oem UV400 Promotional 2019.jpg,round,plastic,house
2019,CRAMILO CJ8065 2019.jpg,round,plastic,house
2021,gucci-designer thick 2021.webp,round,plastic,gucci
all,Osicare OS-MT613.jpg,round,metal,osilake
all,Neumann Ty031 C2.jpg,round,plastic,paul newman
2020,OEM 7728 2020.jpg,round,complex,house
2019,Mass 15969 2019.jpg,rectangle,plastic,house
2019,OEM SG-SG-009 2018 2019.jpg,cat eye,metal,house
all,Conchen 6208.jpg,round,metal,conchen
2019,iVision V10246-1 2019.jpg,rectangle,plastic,house
all,Police Vpl286 0700.jpg,cat eye,plastic,house
all,Dolce&Gabbana DG 6134.jpg,aviator,plastic,dolce
all,Ray-Ban New Wayfarer RB 2132 622.jpg,rectangle,plastic,rayban
2019,Boston watts 2019.jpg,round,plastic,house
2002,Le Specs No Lurking 2002206.jpg,cat eye,complex,house
all,KingSwit KS014.jpg,rimless,metal,kingswit
all,Dolce&Gabbana DG 6134 675.jpg,aviator,plastic,dolce
2019,NO brand FZ042 2019.jpg,round,plastic,house
all,Xaridery.jpg,round,plastic,house
all,Saint Laurent SL 214 KATE 001.jpg,oversize,plastic,house
all,Truesdale S8003 C1.jpg,rectangle,plastic,house
all,Prada PR 12XS 1AB0A7.jpg,oversize,plastic,prada
2019,WIRE 2 2019.png,round,metal,house
all,Truesdale S8004 C1.jpg,round,plastic,house
all,Tommy Hilfiger Th 1484 Lhf.jpg,round,plastic,tommy
2019,metal 2019.jpg,round,metal,house
2019,oem B6079 2019.jpg,round,metal,house
2019,Sifier DY8001 2019.jpg,round,plastic,house
all,Corwin Ld2477 C2.jpg,round,plastic,house
all,Polo Ralph Lauren PH 4098 5563.jpg,rectangle,plastic,ralph 
2019,Sinde G2 2019.jpg,rectangle,plastic,house
2019,Sifier DY-7901S 2019.jpg,rectangle,plastic,house
all,PC Mn850045090.png,round,plastic,house
all,Prada 3SS 1AB-0A7PR 53SS 1AB-0A7.jpg,oversize,plastic,prada
all,KING SWIT KS0768.jpg,round,plastic,house
all,Hugo Boss HG 1106.jpg,oversize,plastic,boss
all,Hawkers DARK ROW X RO18X01.jpg,oversize,plastic,hawkers
all,SR868-CM.jpg,round,complex,house
all,Dior Ladydiorstuds3 807.jpg,round,plastic,Dior
2019,xxin 66007 2019.jpg,round,metal,house
all,OEM P10476-1.jpg,rectangle,plastic,house
2019,Conchen ZH3603C 2019.jpg,round,metal,conchen
all,Kate Spade Jonnie Vpv.jpg,rectangle,plastic,house
2021,Maui-Jim-Wassup 2021.jpg,rectangle,plastic,house
all,Osicare OS-JT9116.jpg,round,plastic,osilake
2019,FIERCE GEOMETRIC 2019.png,rectangle,plastic,house
2021,Maui-Jim-Island-Time 2021.jpg,rectangle,plastic,house
2019,Myopia Cat Eye 2019.jpg,cat eye,plastic,myopia
all,Hugo Boss 1554 C9a.jpg,round,plastic,boss
all,Hawkers HN3520BBX0.jpg,rectangle,plastic,hawkers
2019,No MP3307-1 2019.png,round,plastic,house
2019,SY 9074 2019.png,rectangle,plastic,house
all,Fisher 2405 C1.jpg,round,plastic,fisher
all,Fisher 2435 C2.jpg,cat eye,plastic,fisher
all,Sifier SF7614S.jpg,rectangle,plastic,house
all,Emporio Armani EA 4079 5042.jpg,rectangle,plastic,armani
2020,Custom 49767 2020.jpg,aviator,plastic,house
2020,sun sydney 2020.jpg,rectangle,plastic,house
2019,oem 004 2019.jpg,round,plastic,house
all,Gucci GG 0208S 001.jpg,oversize,plastic,gucci
2019,OEM MM17195 2019.jpg,rectangle,plastic,house
all,Italia Repubblica Is031 C4.jpg,round,plastic,house
all,Tom Ford Eric-02 FT 0595.jpg,rectangle,plastic,tomford
all,Kate Spade Dariela Pjp.jpg,round,complex,house
2020,ocean 2020.jpg,rectangle,plastic,house
all,OEM P10500.jpg,round,plastic,house
all,Neumann Ty031 C1.jpg,round,plastic,paul newman
2019,CRAMILO CJ5010 2019.jpg,cat eye,complex,house
2019,oem GF726 2019.jpg,round,plastic,house
2019,Rlei Di L41710 2019.jpg,round,plastic,house
2019,Jings Eyewear P10559 2019.jpg,round,plastic,jings
all,Versace VE 4388 GB1.jpg,cat eye,plastic,versace
all,Guess Gu2786 002.jpg,round,metal,guess
all,Bottega Veneta BV 1079SK 001.jpg,rectangle,plastic,bottega
2021,oem GLS-01-0015-1 2021.jpg,round,metal,house
2018,Osilotte OSA062 2018.jpg,cat eye,complex,osilake
all,Dieter 1186 Gun.jpg,rectangle,metal,dieter
2019,DOISYER 8040 2019.jpg,round,plastic,house
2019,bamboo 2019.jpg,rectangle,plastic,house
all,Blythe Outdoor Windproof.jpg,aviator,plastic,house
all,Dieter 1163 Gun.jpg,rectangle,metal,dieter
all,David Beckham DB 1008.jpg,round,plastic,house
all,Ray-Ban Erika RB 4171 6315.jpg,round,plastic,rayban
all,WIRE 3 2019.png,round,metal,house
all,Osicare OS-MT617.jpg,round,metal,osilake
2019,Sun Bonny SBOA013 2019.jpg,round,plastic,house
2020,USOM US057 2020.png,rectangle,plastic,house
2020,Jings P10618 2020.jpg,round,plastic,jings
2019,Conchen XH1698P 2019.jpg,rectangle,plastic,conchen
2019,ARCHI metal 1 2019.png,round,metal,house
2019,zhegan ZG092004 2019.jpg,round,plastic,house
2019,Mutrics GK05 2019.jpg,rectangle,plastic,house
2019,Meetshine YC018 2019.jpg,rectangle,plastic,house
all,Custom SPM-19005.jpg,round,complex,house
all,Borregls 28606.jpg,rectangle,metal,house
2020,Meetshine UNA C 2020.jpg,round,plastic,house
2018,Superhot 201001 2018.jpg,round,plastic,house
2019,JY SG-133 2019.png,rectangle,metal,house
2020,AORON 228 2020.png,aviator,metal,aoron
2019,SUPERHOT 17532 2019.jpg,aviator,plastic,house
2019,Kiki SK294 2019.png,round,metal,kiki
all,Custom SPA-19022.jpg,cat eye,plastic,house
all,AORON 5218.jpg,rectangle,plastic,aoron
2020,Custom SPA-19047 2020.jpg,round,plastic,house
2019,PRIDE OF THE EYE P8606 2019.png,rectangle,plastic,house
all,Superhot 11345.jpg,aviator,plastic,house
all,ProudDemon f95204.jpg,rectangle,plastic,house
all,icecat 88010.jpg,round,metal,house
2019,Superhot 23337 2019.jpg,aviator,plastic,house
all,Custom 136BL03.jpg,round,metal,house
all,Custom SPA-19056.jpg,round,plastic,house
2019,OEM A395 2019.jpg,rectangle,metal,house
2019,Sparloo 5005 2019.png,round,plastic,house
all,AORON A576.png,round,plastic,aoron
2019,OEM TR1575 2019.jpg,round,plastic,house
all,Custom 858BL04.jpg,round,plastic,house
2019,customized KM90152 2019.jpg,rectangle,plastic,house
2019,AORON 3447PG 2019.jpg,round,metal,aoron
2020,Superhot 27037 2020.jpg,round,plastic,house
2019,MAX MX29943 2019.png,oversize,plastic,house
all,AORON 801PG.png,round,metal,aoron
all,Sparloo P8001.jpg,aviator,plastic,house
all,icecat 88011.jpg,round,metal,house
2019,Meetshine YA001 2019.jpg,rectangle,plastic,house
all,Sparloo P8019.jpg,rectangle,plastic,house
all,Custom SPA-19028.jpg,round,plastic,house
2019,AORON A559 2019.png,rectangle,plastic,aoron
all,Custom SPA-19026.jpg,round,plastic,house
2019,Meetshine YA008 2019.jpg,round,plastic,house
2019,Sparloo P8652 2019.jpg,rectangle,plastic,house
2019,ProudDemon M1806 2019.png,aviator,plastic,house
2020,Meetshine CHAMELEON 2020.jpg,cat eye,metal,house
all,AORON A600.png,aviator,plastic,aoron
2020,ProudDemon J66306 2020.png,aviator,plastic,house
2019,Benola 1916 2019.png,oversize,plastic,benola
2019,Custom 129ONETIMBE 2019.jpg,round,metal,house
2019,SUPERHOT 23637 2019.jpg,aviator,plastic,house
2019,Custom 871RS837 2019.jpg,rectangle,plastic,house
all,Custom 858BL01.jpg,rectangle,plastic,house
all,Borregls 28613.jpg,round,complex,house
all,Custom SPA19037.jpg,rectangle,plastic,house
all,AORON 6017.png,rectangle,metal,aoron
all,Borregls 17203.jpg,rectangle,plastic,house
2019,AORON A569PG 2019.jpg,round,plastic,aoron
all,GRAVIATE kids E12A7138.webp,rectangle,plastic,house
all,OEM 118801.jpg,round,plastic,house
all,AORON 1012.png,rectangle,metal,aoron
all,Borregls 8512.jpg,rectangle,complex,house
2020,icecat 66012 2020.jpg,round,metal,house
2019,AORON 883 2019.png,round,complex,aoron
2019,Meetshine YMZ002 2019.jpg,round,metal,house
2019,Custom brand 8581025 2019.jpg,cat eye,plastic,house
all,AORON 1002W.png,round,complex,aoron
all,Meetshine Solo.jpg,cat eye,plastic,house
2019,ODM HYLD2840 2019.png,rectangle,plastic,house
2020,icecat 88036 2020.jpg,round,metal,house
2020,icecat 7058 2020.jpg,rectangle,plastic,house
2019,Two circles OO918 2019.png,aviator,plastic,house
2019,Custom 129YOK004 2019.jpg,round,metal,house
all,Custom L118.jpg,rectangle,plastic,house
all,AORON 3121.png,rectangle,complex,aoron
2019,juelun 1846 2019.jpg,aviator,complex,house
2020,ando 2020.jpg,round,complex,house
all,AORON A530.jpg,aviator,metal,aoron
all,Custom 858BL02.jpg,round,plastic,house
2019,Sparloo 1751 2019.jpg,rectangle,plastic,house
all,Sparloo D818.jpg,aviator,plastic,house
all,AORON 28006.png,round,metal,aoron
all,AORON A410.png,oversize,plastic,aoron
all,Sparloo D166.jpg,rectangle,plastic,house
2019,Lumia 10610-10 2019.png,round,complex,house
2019,OEM 2023 2019.png,undifined,metal,house
all,Sparloo P8816.jpg,rectangle,plastic,house
all,AORON 28007.jpg,round,metal,aoron
all,GRAVIATE kids E12C7122.webp,rectangle,plastic,house
all,Roupai 9788.png,round,plastic,house
1971,AORON 1971.png,oversize,metal,aoron
all,Custom SPA-19013.jpg,round,plastic,house
2020,Borregls 18523 2020.jpg,rectangle,plastic,house
all,Gucci GG0209O 001.jpg,round,plastic,gucci
2020,tom ford wayfarer 2020.jpg,rectangle,plastic,tomford
all,SUNGLASS.LA B332-01.jpg,round,plastic,house
2018,LE SKINNY 2018.png,cat eye,plastic,house
all,cutler and gross 1341.jpg,rectangle,plastic,house
all,Landen ZOX723043-01.png,oversize,plastic,house
all,Deleon ZWA034649-01.png,round,plastic,house
all,Judy VFP0158-01.png,cat eye,plastic,house
all,Driscoll ZOA02040-04.png,cat eye,plastic,house
all,Geoffrey ZOP313158-02.png,oversize,plastic,house
all,cutler and gross 1342.jpg,aviator,plastic,house
all,Claudette ZOA01968-01.png,cat eye,plastic,house
all,Depp ZOP01884-03.png,cat eye,plastic,house
2020,dior homme gold-tone 2020.jpg,aviator,metal,Dior
all,Demetrius ZOP01983-01.png,cat eye,plastic,house
all,Alfred ZWA01753-05.png,round,plastic,house
all,CasperSunBlack1.jpg,round,plastic,house
all,Mckenzie ZOP168655-02.png,oversize,plastic,house
all,SUNGLASS.LA B076-01.jpg,cat eye,plastic,house
all,Tristan ZOA391157-02.png,oversize,plastic,house
all,cutler and gross 0736.jpg,round,plastic,house
all,SULLIVAN.jpg,rectangle,plastic,sullivan
all,Aladdin kids ZWT755965-01.png,round,plastic,house
all,Brandon VFP0306-02.png,oversize,plastic,house
all,Nehemiah ZWA724842-01.png,undifined,plastic,house
all,cutler and gross 1350.jpg,cat eye,plastic,house
all,cutler and gross 1330.jpg,cat eye,plastic,house
all,Faithe FA0654-02.png,round,plastic,house
all,cutler and gross 1375.jpg,aviator,plastic,house
all,cutler and gross 0734V2.jpg,round,plastic,house
all,cutler and gross 1204.jpg,undifined,plastic,house
all,ABBEY.jpg,round,plastic,abbey
all,Tallulah FP0341-01.png,cat eye,complex,house
all,Zander ZGM282046-01.png,undifined,metal,house
all,Erkrath ZWA579252-03.png,oversize,plastic,house
all,SUNGLASS.LA B750-01.jpg,round,plastic,house
all,Wisdom ZOX763099-01.png,undifined,plastic,house
all,SUNGLASS.LA B278-01.jpg,round,plastic,house
all,Perry ZOM944324-01.png,undifined,metal,house
all,SUNGLASS.LA B504-05.jpg,cat eye,plastic,house
all,Cecile FP0662-04.png,undifined,plastic,house
all,cutler and gross 1336.jpg,round,complex,house
all,Nikki ZGX066079-01.png,oversize,plastic,house
all,Tiffany ZOI998123-03.png,round,metal,house
2020,dsquared2 2020.jpg,round,plastic,house
all,Yaritza ZOT006813-01.png,oversize,plastic,house
all,cutler and gross 1285.jpg,oversize,plastic,house
all,cutler and gross 1365.jpg,aviator,plastic,house
all,cutler and gross 1291V2.jpg,round,plastic,house
all,SUNGLASS.LA B864-01.jpg,round,plastic,house
all,Wilder ZGM372191-01.png,undifined,plastic,house
2020,ray-ban RB3447V 2020.jpg,round,metal,rayban
all,Reba ZP0940-01.png,round,plastic,house
all,SUNGLASS.LA B916-02.jpg,round,plastic,house
all,Harrell ZOP049594-01.png,round,plastic,house
all,Arthur FA0178-02.png,undifined,plastic,house
all,SUNGLASS.LA B486-01.jpg,cat eye,plastic,house
2020,oliver people 2020.jpg,round,plastic,house
all,Trenton ZOP01956-01.png,cat eye,plastic,house
all,Sean FP0124-02.png,round,plastic,house
all,Harry ZOI716520-01.png,undifined,metal,house
all,cutler and gross 0317.jpg,round,plastic,house
all,cutler and gross 0822V2.jpg,aviator,plastic,house
all,Quincey ZOP725733-02.png,oversize,plastic,house
all,SUNGLASS.LA B482-01.jpg,undifined,complex,house
all,Galloway ZGA455778-01.png,rectangle,plastic,house
all,cutler and gross 1374.jpg,round,plastic,house
all,cutler and gross 1354D.jpg,aviator,plastic,house
2020,Prada Linea Rossa 1990s 2020.jpg,rectangle,plastic,prada
all,cutler and gross 1356D.jpg,round,plastic,house
all,Alberta FP0668-08.png,oversize,plastic,house
all,Gopher kids ZWA734062-01.png,round,plastic,house
all,Cally ZOA01798-01.png,undifined,plastic,house
all,Frechen ZGM559668-01.png,aviator,metal,house
all,cutler and gross 1305.jpg,rectangle,plastic,house
all,Calhoun OA01776-01.png,round,plastic,house
all,Hilary FX0206-06.png,cat eye,plastic,house
all,Ringstaff ZTM863291-03.png,round,metal,house
all,cutler and gross 1326.jpg,rectangle,plastic,house
all,Fezell ZTT123484-01.png,undifined,plastic,house
all,Matthew FX0536-01.png,round,complex,house
all,SUNGLASS.LA B483-01.jpg,aviator,plastic,house
all,cutler and gross 1339.jpg,rectangle,plastic,house
all,Alfred ZWA01753-01.png,cat eye,plastic,house
all,Dexter ZOA02007-01.png,oversize,plastic,house
2020,marc jacobs 2020.jpg,aviator,metal,jacobs
all,cutler and gross 1366.jpg,aviator,plastic,house
all,Arale FA0176-01.png,round,plastic,house
all,Shana ZOI946147-01.png,round,metal,house
all,Goofy kids OT413672-05.png,round,plastic,house
all,cutler and gross 1233.jpg,round,plastic,house
all,DAE.png,oversize,plastic,house
all,Martine ZOT389022-01.png,cat eye,complex,house
all,Calhoun ZOA01776-08.png,round,plastic,house
all,Paola FA0602-01.png,rectangle,plastic,house
all,cutler and gross 1327.jpg,round,plastic,house
all,Bond_7.jpg,round,plastic,house
all,Galmore ZGA075836-01.png,round,plastic,house
all,Paxton ZOP911170-02.png,round,plastic,house
all,LAUREL.jpg,round,plastic,house
all,Saul FP0877-01.png,cat eye,plastic,house
all,cutler and gross 1340.jpg,aviator,plastic,house
all,SULLIVANBLUE-LIGHT.jpg,round,plastic,sullivan
all,Peffer ZWA178431-01.png,undifined,plastic,house
2020,alyssa-crocodile 2020.jpg,round,plastic,house
all,Payton ZOT465170-03.png,undifined,plastic,house
all,Garbsen ZOI986882-01.png,round,metal,house
all,cutler and gross 1356.jpg,round,plastic,house
all,Steven ZOT176792-01.png,undifined,plastic,house
all,Qatar OP01892-04.png,oversize,plastic,house
all,Travis ZWA158859-01.png,aviator,plastic,house
all,Eleanora ZOT02144-01.png,cat eye,plastic,house
all,cutler and gross 1274.jpg,round,metal,house
all,Charmaine ZOA01901-01.png,oversize,plastic,house
all,cutler and gross 0935.jpg,rectangle,plastic,house
all,cutler and gross 1007.jpg,round,complex,house
all,cutler and gross 0772V2.jpg,rectangle,plastic,house
all,Paisley ZOP010193-05.png,rectangle,plastic,house
all,Oakley Sunglass Crossrange XL.jpg,rectangle,plastic,oakley
all,cutler and gross 1364.jpg,aviator,plastic,house
all,Nguyen ZTM865428-02.png,round,metal,house
all,cutler and gross.jpg,rectangle,plastic,house
all,SUNGLASS.LA B838-01.jpg,aviator,plastic,house
all,Indira FP0665-02.png,cat eye,plastic,house
all,Rodz ZTX548130-01.png,cat eye,plastic,house
all,Taylor VFT0269-03.png,oversize,plastic,house
all,Burnley ZOT865063-01.png,round,plastic,house
all,Gefell ZOI731923-01.png,round,metal,house
all,Sam FP0432-01.png,round,plastic,house
all,SUNGLASS.LA B648-02.jpg,round,plastic,house
all,CELINE 1355190.png,oversize,plastic,celine
2017,RAY-BAN 201718M133034.jpg,rectangle,plastic,rayban
all,MCQ 211461F005004.jpg,round,complex,house
all,Alexa Chung x Sunglass Hu.jpg,rectangle,plastic,house
all,Isabel Marant 55MM Square.png,round,plastic,house
all,SUNGLASS.LA BC287-01.jpg,rectangle,plastic,house
all,JACQUES MARIE MAGE 1405860.jpg,rectangle,plastic,house
all,ALDO Oloarwen.jpg,rectangle,plastic,house
all,ALEXANDER MCQUEEN 211259M133002.jpg,rectangle,plastic,house
all,SUNGLASS.LA BC252-01.jpg,round,complex,house
all,RAY-BAN 211718M134043.jpg,rectangle,plastic,rayban
all,ALDO Rudakova.jpg,round,metal,aldo
all,KUBORAUM 211872M133026.jpg,rectangle,plastic,house
all,RAY-BAN 211718M134046.jpg,round,plastic,rayban
all,BOTTEGA VENETA 211798M134014.jpg,undifined,plastic,bottega
all,DITA 211789M134020.jpg,rectangle,plastic,house
2020,Prada Square acetate 2020.jpg,rectangle,plastic,prada
all,MATSUDA 211167M133030.jpg,rectangle,metal,matsuda
all,THIERRY LASRY 211463M134004.jpg,round,plastic,house
all,THIERRY LASRY 211331M133017.jpg,rectangle,plastic,house
all,FENDI Baguette.jfif,aviator,metal,fendi
all,Prada Panto-frame.jpg,round,plastic,prada
all,THOM BROWNE TB916.jpg,rectangle,complex,thom
all,DRIES VAN NOTEN 211358M134397.jpg,rectangle,plastic,house
all,CHIMI 3I-XAK017.png,round,plastic,house
all,DIOR 1410904.png,aviator,plastic,Dior
all,RAY-BAN 211718M133065.jpg,round,metal,rayban
all,THIERRY LASRY 211463M134010.jpg,round,plastic,Thierry
all,ALDO Nellia Cat eye.jpg,cat eye,metal,aldo
2020,RYANNE MYA51 S20.png,undifined,plastic,house
all,THOM BROWNE 202381M133490.jpg,aviator,plastic,thom
all,RAEN 211027M133028.jpg,round,metal,raen
all,BALENCIAGA 211342F005419.jpg,undifined,plastic,balenciaga
all,ALDO Brylska.jpg,cat eye,complex,aldo
all,SUNGLASS.LA BC031-04.jpg,round,plastic,house
all,KUBORAUM 211872M133029.jpg,rectangle,plastic,house
all,Missoni cat-eye.jpg,cat eye,plastic,missoni
all,KUBORAUM 211872M134008.jpg,round,plastic,house
all,DIOR P00552417.jpg,round,plastic,Dior
all,ALEXANDER MCQUEEN 211259M134004.jpg,rectangle,plastic,alexander
all,SUNGLASS.LA BC511-03.jpg,undifined,plastic,house
all,GUCCI 211451M134322.jpg,round,metal,gucci
all,JACQUES MARIE MAGE Dealan.jpg,rectangle,plastic,house
all,SUNGLASS.LA BC375-04.jpg,cat eye,plastic,house
all,Vogue x Millie Bobby Brown.jpg,rectangle,complex,house
all,SAINT LAURENT 211418M134021.jpg,rectangle,plastic,saint
all,MATSUDA 211167M133037.jpg,round,metal,matsuda
all,MATSUDA 211167M133036.jpg,round,metal,matsuda
all,RAY-BAN 211718M134003.jpg,rectangle,plastic,rayban
all,THIERRY LASRY 211331M133011.jpg,aviator,plastic,Thierry
all,JACQUES MARIE MAGE Edie.jpg,undifined,plastic,house
all,RAY-BAN 211718M134024.jpg,round,metal,rayban
all,YUICHI TOYAMA 211076M133008.jpg,rectangle,complex,yuichi
all,VALENTINO 211476F005781.jpg,undifined,metal,valention
all,SUNGLASS.LA BC003-02.jpg,aviator,plastic,house
all,RAEN 211027M134021.jpg,round,plastic,raen
all,RAY-BAN 211718M133063.jpg,undifined,metal,rayban
all,FENDI 211693M133393.jpg,rectangle,complex,fendi
all,OLIVER PEOPLES THE ROW 192844M134009.jpg,rectangle,metal,house
all,my my my RYANNE.png,undifined,plastic,house
all,GUCCI GG0732S.png,aviator,plastic,gucci
all,GUCCI 211451M134330.jpg,round,plastic,gucci
all,MCQ 211461F004010.jpg,undifined,metal,house
all,GUCCI 211451M134306.jpg,rectangle,complex,gucci
all,GUCCI 211451M134294.jpg,aviator,plastic,gucci
all,DITA 211789M133005.jpg,round,plastic,house
all,Miu Miu 0MU 05XS 55 1AB5S0.png,cat eye,plastic,miu miu
all,SUNGLASS.LA BC073-02.jpg,cat eye,plastic,house
all,ANN TAYLOR 432002.png,round,plastic,house
all,MCQ 211461F004009.jpg,undifined,metal,MCQ
all,DIFF EYEWEAR BELLA XS.png,rectangle,plastic,house
all,THOM BROWNE TB418.jpg,rectangle,plastic,thom
2020,Prada Linea Rossa 2020.jpg,rectangle,plastic,prada
all,CUTLER AND GROSS 1367.jpg,aviator,plastic,house
all,TOM FORD 211076M134045.jpg,rectangle,plastic,tom ford
all,LOEWE LW50024U.png,rectangle,plastic,loewe
all,BOTTEGA VENETA 211798M134016.jpg,aviator,plastic,bottega
all,LAPIMA Teresa oversized.png,oversize,plastic,house
all,RAY-BAN 211718M134038.jpg,rectangle,metal,rayban
all,CUTLER AND GROSS 1381.jpg,rectangle,plastic,house
all,ANN TAYLOR 528263.png,cat eye,plastic,house
all,MCQ 211461F004011.jpg,undifined,metal,MCQ
all,DIFF BEKKA XS.png,rectangle,plastic,house
